Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age,Volume,Density
F,1.5,1.1625,0.375,28.33532525,12.870673,5.93922025,7.12989925,11.0,0.3980219950326873,71.19035029125207
M,1.4125,1.0625,0.375,23.6151335,9.87980075,5.5281525,6.690482,11.0,0.3324903357742127,71.02502226120805
M,1.4875,1.1625,0.3875,31.9498865,12.17611025,5.8116475,9.355335,11.0,0.41128939486711025,77.68225220181809
M,1.6125,1.25,0.4625,41.4753185,18.27125275,9.28446125,12.8990225,11.0,0.5675728915176873,73.07487570291666
M,1.6375,1.3375,0.4625,48.94541175,23.6151335,11.5949455,14.64251675,11.0,0.6498142034986,75.3221636068862
I,1.3,1.0,0.35,17.19397175,9.11436425,4.0539785,4.29494925,11.0,0.2748893571891069,62.548699323312135
M,1.7,1.375,0.4625,47.173568,24.664065,10.6310625,12.54465375,11.0,0.6867631987364016,68.68971442674304
F,1.525,1.2,0.4,29.5118295,12.20445975,7.15824875,8.0796075,11.0,0.45238934211693027,65.23546589736414
I,1.3,1.05,0.3625,20.87940675,8.20718025,4.8477645,6.23689,11.0,0.3138892847403114,66.51838009466958
M,1.55,1.225,0.4125,30.94347925,12.34620725,7.10154975,10.0640725,11.0,0.48616759906617213,63.64776120300088
F,1.575,1.225,0.3875,29.95124675,13.5227115,7.0590255,8.9300925,11.0,0.4567028960924647,65.58146884169534
F,1.5875,1.2625,0.475,38.9805625,14.3731965,7.98038425,11.1980525,11.0,0.5946292446544141,65.55439856082873
M,1.5375,1.2,0.4125,32.98464325,13.93377925,6.350288,11.7650425,11.0,0.4665265090580843,70.7026130553565
F,1.5125,1.1875,0.4375,32.772022,15.762322,7.95203475,8.788345,11.0,0.48454618137337685,67.6344655263042
M,1.45,1.15,0.375,24.70658925,10.64523725,6.19436575,7.2291225,11.0,0.38950840165992195,63.43018313523109
F,1.45,1.1625,0.3625,30.71668325,13.48018725,6.180191,7.37087,11.0,0.3847545951982644,79.83448055811176
M,1.6,1.25,0.4,41.39027,18.72484475,9.525432,10.61688775,11.0,0.49087385212340523,84.31956565002473
M,1.5125,1.175,0.3625,28.8314415,12.34620725,7.087375,7.93786,11.0,0.3930733730109683,73.34875236943483
M,1.525,1.2,0.45,33.8776525,14.6566915,7.58349125,10.9145575,11.0,0.5089380098815465,66.56538093487045
M,0.925,0.725,0.225,7.1724235,2.84912475,1.6159215,2.26796,11.0,0.09288560466805135,77.21781567372415
F,1.4875,1.1625,0.375,29.49765475,12.82814875,7.15824875,7.5126175,11.0,0.3980219950326873,74.11061478544049
F,1.5875,1.275,0.4875,45.92619,22.15513425,10.70193625,13.60776,11.0,0.6224219085693261,73.78626839399675
M,1.625,1.2625,0.475,41.730464,18.5122235,9.8372765,10.61688775,11.0,0.5946292446544141,70.17896340475627
F,1.6125,1.25,0.4,38.76794125,18.5122235,7.98038425,9.63883,11.0,0.49087385212340523,78.97740138795125
M,1.6125,1.25,0.375,30.8726055,12.60135275,6.36446275,9.56795625,11.0,0.46019423636569234,67.08603250621147
M,1.725,1.3125,0.475,52.80717275,25.911443,11.63746975,14.17475,11.0,0.6426612510846893,82.16952968748558
M,1.925,1.5125,0.575,62.21297775,29.66775175,13.62193475,16.612807,11.0,1.0331145849099488,60.21885535128979
M,1.6375,1.25,0.425,40.44056175,18.58309725,9.05766525,8.6465975,11.0,0.521553467881118,77.53866907317344
I,1.475,1.15,0.3625,28.33532525,14.911837,6.7755305,8.0229085,11.0,0.37652478827125785,75.25487333807762
F,1.7375,1.3875,0.4875,49.384829,21.98503725,9.53960675,13.7495075,11.0,0.7371069142140203,66.9981898794956
M,1.4625,1.175,0.4,26.54930675,10.035723,6.406987,8.50485,11.0,0.43373613573624087,61.21073289163274
M,1.2875,1.025,0.35,17.8885345,6.917278,3.1467945,6.0951425,11.0,0.2888056308968054,61.93970126015944
M,1.4875,1.1625,0.3875,33.04134225,15.5071765,6.2652395,6.520385,11.0,0.41128939486711025,80.3359937366628
F,1.425,1.1125,0.425,21.4038725,10.716111,4.6776675,6.23689,11.0,0.4131225019086336,51.8099895336461
F,1.7375,1.4,0.5125,51.766187,22.5945515,11.24057675,14.0897015,11.0,0.7889324551327366,65.61548667850207
F,1.5,1.25,0.4125,29.937072,12.62970225,6.1518415,9.355335,11.0,0.5062136600022615,59.13920220933243
M,1.475,1.1875,0.3625,31.70891575,13.60776,6.22271525,9.922325,11.0,0.4014811217093694,78.97984247676273
